"","start","end","distance"
"1994","53KS","KMHK",72
"1995","53NE","KMHK",117
"1996","53V","KMHK",200
"1997","54II","KMHK",493
"1998","54IL","KMHK",381
"1999","54KS","KMHK",76
"2000","55IS","KMHK",413
"2001","55K","KMHK",114
"2002","55MO","KMHK",254
"2003","56IN","KMHK",552
"2004","56IS","KMHK",403
"2005","56K","KMHK",216
"2006","56M","KMHK",163
"2007","56NE","KMHK",150
"2008","57II","KMHK",471
"2009","57IS","KMHK",397
"2010","57K","KMHK",109
"2011","58II","KMHK",502
"2012","58KS","KMHK",50
"2013","58KY","KMHK",536
"2014","59CO","KMHK",357
"2015","59II","KMHK",424
"2016","59KS","KMHK",89
"2017","59KY","KMHK",528
"2018","59NE","KMHK",147
"2019","5CO0","KMHK",264
"2020","5CO1","KMHK",523
"2021","5CO3","KMHK",383
"2022","5CO4","KMHK",354
"2023","5CO5","KMHK",378
"2024","5CO6","KMHK",402
"2025","5CO7","KMHK",510
"2026","5CO8","KMHK",476
"2027","5I2","KMHK",475
"2028","5I4","KMHK",488
"2029","5I6","KMHK",489
"2030","5IA3","KMHK",177
"2031","5II1","KMHK",468
"2032","5II2","KMHK",491
"2033","5II5","KMHK",464
"2034","5II8","KMHK",496
"2035","5II9","KMHK",433
"2036","5IL2","KMHK",348
"2037","5IN3","KMHK",496
"2038","5IS3","KMHK",321
"2039","5IS4","KMHK",369
"2040","5IS5","KMHK",346
"2041","5IS7","KMHK",416
"2042","5IS9","KMHK",270
"2043","5K0","KMHK",230
"2044","5K1","KMHK",312
"2045","5K2","KMHK",242
"2046","5K3","KMHK",117
"2047","5K4","KMHK",288
"2048","5KS1","KMHK",68
"2049","5KS2","KMHK",233
"2050","5KS3","KMHK",128
"2051","5KS4","KMHK",248
"2052","5KS6","KMHK",216
"2053","5KS8","KMHK",221
"2054","5KS9","KMHK",222
"2055","5L7","KMHK",466
"2056","5LL0","KMHK",417
"2057","5LL1","KMHK",359
"2058","5LL2","KMHK",364
"2059","5LL3","KMHK",400
"2060","5LL5","KMHK",327
"2061","5LL6","KMHK",277
"2062","5LL8","KMHK",410
"2063","5M9","KMHK",419
"2064","5MO","KMHK",106
"2065","5MO1","KMHK",201
"2066","5MO6","KMHK",126
"2067","5MO9","KMHK",184
"2068","5NE2","KMHK",80
"2069","5NE6","KMHK",216
"2070","5NE9","KMHK",266
"2071","5OI5","KMHK",556
"2072","5V4","KMHK",356
"2073","5V6","KMHK",305
"2074","60CO","KMHK",374
"2075","60IN","KMHK",531
"2076","60IS","KMHK",410
"2077","60KS","KMHK",99
"2078","61IL","KMHK",309
"2079","61IN","KMHK",519
"2080","61IS","KMHK",398
"2081","61K","KMHK",122
"2082","61KS","KMHK",82
"2083","61KY","KMHK",559
"2084","61LL","KMHK",332
"2085","61MO","KMHK",214
"2086","61Y","KMHK",422
"2087","62CO","KMHK",364
"2088","62IN","KMHK",500
"2089","62IS","KMHK",410
"2090","62K","KMHK",50
"2091","62LL","KMHK",302
"2092","62MO","KMHK",115
"2093","62NE","KMHK",206
"2094","63II","KMHK",496
"2095","63IN","KMHK",485
"2096","63K","KMHK",98
"2097","63KS","KMHK",21
"2098","63M","KMHK",244
"2099","63NE","KMHK",163
"2100","64CO","KMHK",528
"2101","64I","KMHK",527
"2102","64IN","KMHK",516
"2103","64KY","KMHK",546
"2104","64MO","KMHK",83
"2105","64V","KMHK",231
"2106","65CO","KMHK",392
"2107","65IS","KMHK",371
"2108","66II","KMHK",504
"2109","66IN","KMHK",514
"2110","66KS","KMHK",124
"2111","66KY","KMHK",503
"2112","66MO","KMHK",268
"2113","67CO","KMHK",385
"2114","67II","KMHK",516
"2115","67KS","KMHK",201
"2116","67MO","KMHK",175
"2117","67NE","KMHK",144
"2118","68CO","KMHK",350
"2119","68IN","KMHK",460
"2120","68KS","KMHK",95
"2121","68NE","KMHK",111
"2122","69IS","KMHK",263
"2123","69K","KMHK",20
"2124","69KS","KMHK",95
"2125","69MO","KMHK",197
"2126","6CO0","KMHK",531
"2127","6CO1","KMHK",393
"2128","6CO2","KMHK",527
"2129","6CO3","KMHK",342
"2130","6CO4","KMHK",394
"2131","6CO6","KMHK",324
"2132","6I2","KMHK",546
"2133","6I4","KMHK",477
"2134","6IA7","KMHK",252
"2135","6II0","KMHK",487
"2136","6II2","KMHK",510
"2137","6II4","KMHK",446
"2138","6II7","KMHK",470
"2139","6II8","KMHK",441
"2140","6IL5","KMHK",370
"2141","6IN2","KMHK",513
"2142","6IN3","KMHK",464
"2143","6IN4","KMHK",511
"2144","6IN5","KMHK",508
"2145","6IN6","KMHK",475
"2146","6IN8","KMHK",529
"2147","6IS0","KMHK",400
"2148","6IS3","KMHK",352
"2149","6IS8","KMHK",410
"2150","6K1","KMHK",177
"2151","6K2","KMHK",218
"2152","6K9","KMHK",238
"2153","6KS1","KMHK",167
"2154","6KS2","KMHK",185
"2155","6KS3","KMHK",238
"2156","6KS4","KMHK",239
"2157","6KS5","KMHK",109
"2158","6KS7","KMHK",99
"2159","6KS8","KMHK",52
"2160","6LL0","KMHK",384
"2161","6LL1","KMHK",388
"2162","6LL4","KMHK",323
"2163","6LL5","KMHK",313
"2164","6LL6","KMHK",331
"2165","6LL8","KMHK",424
"2166","6M6","KMHK",239
"2167","6MO0","KMHK",274
"2168","6MO1","KMHK",89
"2169","6MO2","KMHK",320
"2170","6MO3","KMHK",240
"2171","6MO4","KMHK",151
"2172","6MO6","KMHK",247
"2173","6MO8","KMHK",215
"2174","6MO9","KMHK",106
"2175","6NE0","KMHK",230
"2176","6NE7","KMHK",182
"2177","6NE8","KMHK",234
"2178","6V6","KMHK",561
"2179","70II","KMHK",512
"2180","70IL","KMHK",331
"2181","70IN","KMHK",537
"2182","70K","KMHK",90
"2183","70KY","KMHK",510
"2184","70LL","KMHK",380
"2185","70MO","KMHK",166
"2186","71II","KMHK",492
"2187","71IN","KMHK",500
"2188","71IS","KMHK",408
"2189","71K","KMHK",96
"2190","71KS","KMHK",64
"2191","71KY","KMHK",551
"2192","71LL","KMHK",388
"2193","71MO","KMHK",154
"2194","71NE","KMHK",185
"2195","72CO","KMHK",277
"2196","72IN","KMHK",464
"2197","72K","KMHK",98
"2198","72KS","KMHK",84
"2199","72NE","KMHK",119
"2200","73CO","KMHK",525
"2201","73II","KMHK",536
"2202","73IN","KMHK",451
"2203","73IS","KMHK",319
"2204","73KS","KMHK",121
"2205","73MU","KMHK",220
"2206","73NE","KMHK",113
"2207","74CO","KMHK",354
"2208","74IN","KMHK",530
"2209","74KS","KMHK",100
"2210","74MU","KMHK",259
"2211","75II","KMHK",490
"2212","75K","KMHK",141
"2213","75KS","KMHK",184
"2214","75LL","KMHK",339
"2215","75U","KMHK",163
"2216","76CO","KMHK",362
"2217","76IN","KMHK",433
"2218","76KS","KMHK",205
"2219","76KY","KMHK",560
"2220","76MO","KMHK",191
"2221","77CO","KMHK",427
"2222","77IL","KMHK",347
"2223","77KS","KMHK",107
"2224","77Y","KMHK",93
"2225","78I","KMHK",465
"2226","78II","KMHK",515
"2227","78MO","KMHK",237
"2228","78MU","KMHK",161
"2229","78Y","KMHK",111
"2230","79II","KMHK",511
"2231","79IL","KMHK",424
"2232","79IS","KMHK",285
"2233","79MU","KMHK",99
"2234","7CO0","KMHK",392
"2235","7CO1","KMHK",408
"2236","7CO2","KMHK",524
"2237","7CO3","KMHK",373
"2238","7CO4","KMHK",347
"2239","7CO5","KMHK",357
"2240","7CO6","KMHK",359
"2241","7CO8","KMHK",381
"2242","7I2","KMHK",529
"2243","7I4","KMHK",480
"2244","7II0","KMHK",492
"2245","7II3","KMHK",425
"2246","7II9","KMHK",489
"2247","7IL3","KMHK",336
"2248","7IS2","KMHK",312
"2249","7IS3","KMHK",356
"2250","7IS7","KMHK",328
"2251","7IS9","KMHK",304
"2252","7K4","KMHK",474
"2253","7KS0","KMHK",64
"2254","7KS2","KMHK",59
"2255","7KS3","KMHK",134
"2256","7KS4","KMHK",64
"2257","7KS5","KMHK",102
"2258","7KS6","KMHK",94
"2259","7KS7","KMHK",193
"2260","7KS8","KMHK",186
"2261","7KS9","KMHK",87
"2262","7L7","KMHK",188
"2263","7L8","KMHK",496
"2264","7LL3","KMHK",398
"2265","7LL4","KMHK",371
"2266","7LL8","KMHK",344
"2267","7LL9","KMHK",342
"2268","7MO","KMHK",161
"2269","7MO1","KMHK",232
"2270","7MO2","KMHK",233
"2271","7MO4","KMHK",89
"2272","7MO5","KMHK",87
"2273","7MO6","KMHK",105
"2274","7MO7","KMHK",108
"2275","7MO8","KMHK",106
"2276","7MO9","KMHK",218
"2277","7NE0","KMHK",89
"2278","7NE5","KMHK",245
"2279","7NE6","KMHK",124
"2280","7V1","KMHK",442
"2281","7V2","KMHK",513
"2282","7V5","KMHK",327
"2283","7V7","KMHK",104
"2284","7V8","KMHK",282
"2285","7V9","KMHK",316
"2286","7W7","KMHK",473
"2287","80IS","KMHK",284
"2288","80KS","KMHK",220
"2289","80KY","KMHK",458
"2290","80LL","KMHK",354
"2291","80MO","KMHK",196
"2292","80NE","KMHK",88
"2293","81CO","KMHK",475
"2294","81IL","KMHK",347
"2295","81IN","KMHK",520
"2296","81NE","KMHK",128
"2297","82IL","KMHK",368
"2298","82IN","KMHK",507
"2299","82KY","KMHK",528
"2300","83IL","KMHK",364
"2301","83IN","KMHK",501
"2302","83IS","KMHK",356
"2303","83KS","KMHK",18
"2304","83LL","KMHK",324
"2305","84CO","KMHK",390
"2306","84KY","KMHK",530
"2307","84NE","KMHK",158
"2308","85IL","KMHK",375
"2309","85IN","KMHK",431
"2310","85IS","KMHK",300
"2311","85KY","KMHK",542
"2312","85MO","KMHK",218
"2313","85NE","KMHK",79
"2314","86CO","KMHK",398
"2315","86IL","KMHK",363
"2316","86KS","KMHK",90
"2317","86KY","KMHK",521
"2318","87CO","KMHK",362
"2319","87IS","KMHK",252
"2320","87K","KMHK",148
"2321","87KS","KMHK",88
"2322","87MO","KMHK",116
"2323","87NE","KMHK",109
"2324","88CO","KMHK",355
"2325","88IN","KMHK",500
"2326","88IS","KMHK",251
"2327","88NE","KMHK",82
"2328","89CO","KMHK",345
"2329","89IN","KMHK",479
"2330","89IS","KMHK",319
"2331","89K","KMHK",92
"2332","89MO","KMHK",104
"2333","8CO0","KMHK",346
"2334","8CO2","KMHK",360
"2335","8CO4","KMHK",349
"2336","8CO5","KMHK",525
"2337","8CO7","KMHK",398
"2338","8CO8","KMHK",287
"2339","8CO9","KMHK",369
"2340","8I1","KMHK",538
"2341","8I2","KMHK",448
"2342","8I3","KMHK",490
"2343","8II0","KMHK",541
"2344","8II1","KMHK",445
"2345","8II2","KMHK",550
"2346","8II3","KMHK",431
"2347","8II5","KMHK",548
"2348","8IS1","KMHK",311
"2349","8IS5","KMHK",413
"2350","8K0","KMHK",170
"2351","8K2","KMHK",129
"2352","8K5","KMHK",88
"2353","8K6","KMHK",85
"2354","8K7","KMHK",154
"2355","8K8","KMHK",190
"2356","8KS0","KMHK",239
"2357","8KS1","KMHK",79
"2358","8KS2","KMHK",75
"2359","8KS3","KMHK",70
"2360","8KS4","KMHK",126
"2361","8KS5","KMHK",128
"2362","8KS7","KMHK",98
"2363","8KS8","KMHK",21
"2364","8KS9","KMHK",72
"2365","8LL0","KMHK",333
"2366","8LL7","KMHK",330
"2367","8LL9","KMHK",332
"2368","8M7","KMHK",441
"2369","8M9","KMHK",434
"2370","8MO3","KMHK",128
"2371","8MO4","KMHK",278
"2372","8MO5","KMHK",114
"2373","8MO7","KMHK",80
"2374","8NE2","KMHK",118
"2375","8NE3","KMHK",251
"2376","8NE4","KMHK",105
"2377","8NE6","KMHK",120
"2378","8NE7","KMHK",122
"2379","8V1","KMHK",464
"2380","8V7","KMHK",298
"2381","8WC","KMHK",289
"2382","90IN","KMHK",477
"2383","90KS","KMHK",51
"2384","90KY","KMHK",524
"2385","91IN","KMHK",499
"2386","91IS","KMHK",335
"2387","91LS","KMHK",317
"2388","92CO","KMHK",423
"2389","92IS","KMHK",336
"2390","92KY","KMHK",528
"2391","93CO","KMHK",389
"2392","93IN","KMHK",509
"2393","93KY","KMHK",456
"2394","94IL","KMHK",348
"2395","94IS","KMHK",362
"2396","94KY","KMHK",452
"2397","95CO","KMHK",364
"2398","95IL","KMHK",403
"2399","95IN","KMHK",507
"2400","95MO","KMHK",234
"2401","96CO","KMHK",361
"2402","96IS","KMHK",412
"2403","96KY","KMHK",454
"2404","96LL","KMHK",427
"2405","97CO","KMHK",350
"2406","97KS","KMHK",92
"2407","97MO","KMHK",191
"2408","98KS","KMHK",207
"2409","98LL","KMHK",422
"2410","98MO","KMHK",269
"2411","98Y","KMHK",109
"2412","99CO","KMHK",387
"2413","99IL","KMHK",385
"2414","99IN","KMHK",494
"2415","99IS","KMHK",335
"2416","99KS","KMHK",140
"2417","99KY","KMHK",572
"2418","99V","KMHK",514
"2419","9CO2","KMHK",364
"2420","9CO5","KMHK",272
"2421","9CO7","KMHK",373
"2422","9CO9","KMHK",535
"2423","9I0","KMHK",315
"2424","9II1","KMHK",451
"2425","9II4","KMHK",501
"2426","9II8","KMHK",527
"2427","9IL0","KMHK",355
"2428","9IL2","KMHK",405
"2429","9IL3","KMHK",360
"2430","9IL4","KMHK",365
"2431","9IL6","KMHK",347
"2432","9IL9","KMHK",327
"2433","9IS0","KMHK",261
"2434","9IS9","KMHK",364
"2435","9K0","KMHK",47
"2436","9K1","KMHK",175
"2437","9K3","KMHK",90
"2438","9K4","KMHK",136
"2439","9K5","KMHK",168
"2440","9K6","KMHK",81
"2441","9K7","KMHK",77
"2442","9K8","KMHK",112
"2443","9K9","KMHK",25
"2444","9KS1","KMHK",79
"2445","9KS4","KMHK",84
"2446","9KS5","KMHK",75
"2447","9KS6","KMHK",184
"2448","9KS7","KMHK",77
"2449","9KS9","KMHK",49
"2450","9LL0","KMHK",256
"2451","9LL2","KMHK",340
"2452","9LL3","KMHK",403
"2453","9LL4","KMHK",379
"2454","9LL5","KMHK",337
"2455","9MO3","KMHK",91
"2456","9MO4","KMHK",97
"2457","9MO6","KMHK",182
"2458","9MO9","KMHK",161
"2459","9NE2","KMHK",84
"2460","9NE9","KMHK",76
"2461","9U4","KMHK",511
"2462","9V2","KMHK",211
"2463","9V7","KMHK",291
"2464","A50","KMHK",362
"2465","C08","KMHK",415
"2466","C10","KMHK",290
"2467","C15","KMHK",333
"2468","C16","KMHK",397
"2469","C34","KMHK",397
"2470","C40","KMHK",535
"2471","C45","KMHK",329
"2472","C66","KMHK",298
"2473","C75","KMHK",354
"2474","CD01","KMHK",422
"2475","CD02","KMHK",485
"2476","CD05","KMHK",286
"2477","CD09","KMHK",362
"2478","CD10","KMHK",474
"2479","CD13","KMHK",331
"2480","CD14","KMHK",363
"2481","CD17","KMHK",349
"2482","CD69","KMHK",472
"2483","CD82","KMHK",539
"2484","CO00","KMHK",298
"2485","CO02","KMHK",366
"2486","CO03","KMHK",477
"2487","CO06","KMHK",345
"2488","CO07","KMHK",411
"2489","CO09","KMHK",361
"2490","CO10","KMHK",400
"2491","CO11","KMHK",442
"2492","CO12","KMHK",376
"2493","CO13","KMHK",378
"2494","CO14","KMHK",380
"2495","CO15","KMHK",372
"2496","CO17","KMHK",351
"2497","CO18","KMHK",354
"2498","CO19","KMHK",421
"2499","CO20","KMHK",521
"2500","CO22","KMHK",388
"2501","CO25","KMHK",258
"2502","CO27","KMHK",575
"2503","CO38","KMHK",357
"2504","CO42","KMHK",367
"2505","CO47","KMHK",480
"2506","CO48","KMHK",378
"2507","CO49","KMHK",367
"2508","CO52","KMHK",402
"2509","CO53","KMHK",394
"2510","CO54","KMHK",372
"2511","CO55","KMHK",401
"2512","CO56","KMHK",365
"2513","CO58","KMHK",388
"2514","CO59","KMHK",374
"2515","CO60","KMHK",364
"2516","CO61","KMHK",410
"2517","CO65","KMHK",419
"2518","CO68","KMHK",536
"2519","CO70","KMHK",377
"2520","CO73","KMHK",268
"2521","CO76","KMHK",524
"2522","CO77","KMHK",371
"2523","CO80","KMHK",353
"2524","CO81","KMHK",284
"2525","CO82","KMHK",371
"2526","CO84","KMHK",275
"2527","CO86","KMHK",433
"2528","CO89","KMHK",532
"2529","CO90","KMHK",358
"2530","CO92","KMHK",326
"2531","CO93","KMHK",383
"2532","CO94","KMHK",312
"2533","CO95","KMHK",535
"2534","CO96","KMHK",376
"2535","CO97","KMHK",357
"2536","CO98","KMHK",390
"2537","D17","KMHK",537
"2538","H07","KMHK",330
"2539","H17","KMHK",191
"2540","H19","KMHK",254
"2541","H20","KMHK",164
"2542","H21","KMHK",200
"2543","H41","KMHK",226
"2544","H49","KMHK",305
"2545","H57","KMHK",297
"2546","H58","KMHK",220
"2547","H63","KMHK",131
"2548","H79","KMHK",198
"2549","H88","KMHK",315
"2550","H96","KMHK",370
"2551","HLB","KMHK",532
"2552","I05","KMHK",422
"2553","I21","KMHK",501
"2554","I22","KMHK",547
"2555","I34","KMHK",520
"2556","I38","KMHK",552
"2557","I42","KMHK",479
"2558","I48","KMHK",266
"2559","I53","KMHK",559
"2560","I61","KMHK",536
"2561","I63","KMHK",277
"2562","I67","KMHK",555
"2563","I72","KMHK",490
"2564","I75","KMHK",179
"2565","I76","KMHK",495
"2566","I80","KMHK",499
"2567","I83","KMHK",494
"2568","I91","KMHK",445
"2569","I93","KMHK",489
"2570","I99","KMHK",515
"2571","IA05","KMHK",203
"2572","IA07","KMHK",184
"2573","IA22","KMHK",266
"2574","IA26","KMHK",246
"2575","IA27","KMHK",218
"2576","IA36","KMHK",155
"2577","IA44","KMHK",154
"2578","IA59","KMHK",254
"2579","IA61","KMHK",247
"2580","IA65","KMHK",253
"2581","IA76","KMHK",181
"2582","IA77","KMHK",279
"2583","IG02","KMHK",457
"2584","IG03","KMHK",469
"2585","IG04","KMHK",538
"2586","IG05","KMHK",493
"2587","IG07","KMHK",543
"2588","II01","KMHK",535
"2589","II03","KMHK",538
"2590","II04","KMHK",441
"2591","II05","KMHK",502
"2592","II06","KMHK",522
"2593","II07","KMHK",458
"2594","II08","KMHK",436
"2595","II09","KMHK",468
"2596","II10","KMHK",493
"2597","II12","KMHK",487
"2598","II13","KMHK",447
"2599","II14","KMHK",523
"2600","II15","KMHK",488
"2601","II19","KMHK",465
"2602","II20","KMHK",534
"2603","II22","KMHK",463
"2604","II25","KMHK",461
"2605","II26","KMHK",447
"2606","II27","KMHK",501
"2607","II29","KMHK",462
"2608","II30","KMHK",433
"2609","II32","KMHK",442
"2610","II33","KMHK",425
"2611","II34","KMHK",445
"2612","II35","KMHK",474
"2613","II36","KMHK",505
"2614","II37","KMHK",507
"2615","II39","KMHK",435
"2616","II40","KMHK",438
"2617","II42","KMHK",501
"2618","II45","KMHK",452
"2619","II49","KMHK",464
"2620","II50","KMHK",466
"2621","II52","KMHK",473
"2622","II53","KMHK",524
"2623","II54","KMHK",525
"2624","II55","KMHK",483
"2625","II58","KMHK",534
"2626","II59","KMHK",433
"2627","II63","KMHK",419
"2628","II65","KMHK",452
"2629","II67","KMHK",528
"2630","II68","KMHK",453
"2631","II69","KMHK",511
"2632","II70","KMHK",496
"2633","II71","KMHK",515
"2634","II72","KMHK",535
"2635","II73","KMHK",552
"2636","II75","KMHK",527
"2637","II76","KMHK",493
"2638","II77","KMHK",532
"2639","II78","KMHK",516
"2640","II79","KMHK",472
"2641","II81","KMHK",446
"2642","II82","KMHK",470
"2643","II83","KMHK",477
"2644","II84","KMHK",425
"2645","II85","KMHK",546
"2646","II86","KMHK",503
"2647","II87","KMHK",482
"2648","II89","KMHK",427
"2649","II91","KMHK",474
"2650","II93","KMHK",487
"2651","II94","KMHK",503
"2652","II96","KMHK",458
"2653","II97","KMHK",502
"2654","II98","KMHK",432
"2655","IL01","KMHK",304
"2656","IL12","KMHK",291
"2657","IL15","KMHK",295
"2658","IL16","KMHK",369
"2659","IL17","KMHK",381
"2660","IL18","KMHK",307
"2661","IL24","KMHK",317
"2662","IL28","KMHK",296
"2663","IL31","KMHK",384
"2664","IL35","KMHK",328
"2665","IL39","KMHK",304
"2666","IL45","KMHK",407
"2667","IL46","KMHK",272
"2668","IL51","KMHK",400
"2669","IL52","KMHK",267
"2670","IL53","KMHK",271
"2671","IL54","KMHK",343
"2672","IL55","KMHK",392
"2673","IL56","KMHK",395
"2674","IL57","KMHK",362
"2675","IL60","KMHK",398
"2676","IL63","KMHK",381
"2677","IL64","KMHK",338
"2678","IL65","KMHK",296
"2679","IL72","KMHK",370
"2680","IL78","KMHK",425
"2681","IL80","KMHK",366
"2682","IL81","KMHK",412
"2683","IL82","KMHK",368
"2684","IL84","KMHK",271
"2685","IL85","KMHK",418
"2686","IL86","KMHK",292
"2687","IL91","KMHK",386
"2688","IL94","KMHK",350
"2689","IL97","KMHK",321
"2690","IN00","KMHK",452
"2691","IN01","KMHK",494
"2692","IN04","KMHK",441
"2693","IN05","KMHK",518
"2694","IN08","KMHK",442
"2695","IN09","KMHK",436
"2696","IN10","KMHK",485
"2697","IN12","KMHK",464
"2698","IN13","KMHK",505
"2699","IN14","KMHK",503
"2700","IN15","KMHK",432
"2701","IN16","KMHK",456
"2702","IN19","KMHK",498
"2703","IN20","KMHK",484
"2704","IN21","KMHK",532
"2705","IN23","KMHK",426
"2706","IN25","KMHK",471
"2707","IN27","KMHK",493
"2708","IN29","KMHK",450
"2709","IN30","KMHK",428
"2710","IN31","KMHK",509
"2711","IN32","KMHK",509
"2712","IN33","KMHK",496
"2713","IN34","KMHK",500
"2714","IN35","KMHK",500
"2715","IN36","KMHK",500
"2716","IN39","KMHK",460
"2717","IN40","KMHK",453
"2718","IN41","KMHK",542
"2719","IN43","KMHK",502
"2720","IN44","KMHK",498
"2721","IN45","KMHK",456
"2722","IN46","KMHK",441
"2723","IN47","KMHK",547
"2724","IN48","KMHK",511
"2725","IN49","KMHK",506
"2726","IN50","KMHK",508
"2727","IN51","KMHK",491
"2728","IN53","KMHK",459
"2729","IN55","KMHK",440
"2730","IN57","KMHK",431
"2731","IN58","KMHK",555
"2732","IN59","KMHK",441
"2733","IN60","KMHK",490
"2734","IN63","KMHK",529
"2735","IN64","KMHK",488
"2736","IN67","KMHK",511
"2737","IN68","KMHK",504
"2738","IN72","KMHK",536
"2739","IN76","KMHK",474
"2740","IN77","KMHK",441
"2741","IN80","KMHK",480
"2742","IN85","KMHK",525
"2743","IN88","KMHK",462
"2744","IN91","KMHK",549
"2745","IN92","KMHK",427
"2746","IN98","KMHK",504
"2747","IN99","KMHK",483
"2748","IS00","KMHK",356
"2749","IS01","KMHK",316
"2750","IS02","KMHK",421
"2751","IS05","KMHK",334
"2752","IS07","KMHK",376
"2753","IS08","KMHK",305
"2754","IS10","KMHK",372
"2755","IS13","KMHK",411
"2756","IS16","KMHK",365
"2757","IS26","KMHK",378
"2758","IS27","KMHK",403
"2759","IS33","KMHK",319
"2760","IS34","KMHK",424
"2761","IS36","KMHK",328
"2762","IS43","KMHK",401
"2763","IS45","KMHK",253
"2764","IS51","KMHK",265
"2765","IS52","KMHK",430
"2766","IS54","KMHK",351
"2767","IS55","KMHK",278
"2768","IS56","KMHK",274
"2769","IS60","KMHK",304
"2770","IS62","KMHK",348
"2771","IS64","KMHK",372
"2772","IS66","KMHK",267
"2773","IS68","KMHK",374
"2774","IS69","KMHK",290
"2775","IS70","KMHK",345
"2776","IS72","KMHK",404
"2777","IS77","KMHK",342
"2778","IS82","KMHK",303
"2779","IS84","KMHK",313
"2780","IS85","KMHK",288
"2781","IS86","KMHK",407
"2782","IS88","KMHK",420
"2783","IS91","KMHK",318
"2784","K01","KMHK",85
"2785","K02","KMHK",330
"2786","K06","KMHK",295
"2787","K07","KMHK",240
"2788","K08","KMHK",265
"2789","K15","KMHK",198
"2790","K17","KMHK",202
"2791","K19","KMHK",127
"2792","K26","KMHK",148
"2793","K32","KMHK",90
"2794","K33","KMHK",256
"2795","K34","KMHK",83
"2796","K38","KMHK",40
"2797","K39","KMHK",271
"2798","K43","KMHK",188
"2799","K47","KMHK",113
"2800","K50","KMHK",97
"2801","K51","KMHK",143
"2802","K52","KMHK",232
"2803","K57","KMHK",99
"2804","K58","KMHK",189
"2805","K59","KMHK",74
"2806","K61","KMHK",71
"2807","K63","KMHK",28
"2808","K64","KMHK",72
"2809","K65","KMHK",183
"2810","K67","KMHK",142
"2811","K68","KMHK",86
"2812","K71","KMHK",70
"2813","K72","KMHK",131
"2814","K75","KMHK",95
"2815","K78","KMHK",30
"2816","K79","KMHK",167
"2817","K81","KMHK",89
"2818","K82","KMHK",105
"2819","K83","KMHK",62
"2820","K87","KMHK",69
"2821","K88","KMHK",97
"2822","K89","KMHK",199
"2823","K91","KMHK",62
"2824","K94","KMHK",128
"2825","K96","KMHK",390
"2826","K97","KMHK",273
"2827","KAAA","KMHK",345
"2828","KAAO","KMHK",87
"2829","KAAS","KMHK",547
"2830","KADT","KMHK",207
"2831","KAFF","KMHK",381
"2832","KAFK","KMHK",95
"2833","KAID","KMHK",516
"2834","KAIZ","KMHK",204
"2835","KAJG","KMHK",420
"2836","KAKO","KMHK",310
"2837","KALN","KMHK",310
"2838","KALS","KMHK",446
"2839","KANY","KMHK",136
"2840","KAPA","KMHK",381
"2841","KASE","KMHK",476
"2842","KAUH","KMHK",122
"2843","KBAK","KMHK",502
"2844","KBEC","KMHK",90
"2845","KBFR","KMHK",478
"2846","KBIE","KMHK",70
"2847","KBJC","KMHK",395
"2848","KBKF","KMHK",377
"2849","KBLV","KMHK",322
"2850","KBMG","KMHK",469
"2851","KBMI","KMHK",367
"2852","KBRL","KMHK",274
"2853","KBRY","KMHK",532
"2854","KBUM","KMHK",121
"2855","KBZK","KMHK",170
"2856","KCAG","KMHK",508
"2857","KCBK","KMHK",205
"2858","KCEA","KMHK",94
"2859","KCEK","KMHK",89
"2860","KCEV","KMHK",537
"2861","KCEZ","KMHK",576
"2862","KCFJ","KMHK",455
"2863","KCGI","KMHK",355
"2864","KCHT","KMHK",152
"2865","KCMI","KMHK",393
"2866","KCNC","KMHK",190
"2867","KCNK","KMHK",52
"2868","KCNP","KMHK",291
"2869","KCNU","KMHK",104
"2870","KCOS","KMHK",376
"2871","KCOU","KMHK",209
"2872","KCPS","KMHK",307
"2873","KCRZ","KMHK",142
"2874","KCSB","KMHK",176
"2875","KCSQ","KMHK",155
"2876","KCTK","KMHK",316
"2877","KCUL","KMHK",407
"2878","KCYW","KMHK",27
"2879","KCZD","KMHK",185
"2880","KDCR","KMHK",554
"2881","KDCY","KMHK",447
"2882","KDDC","KMHK",176
"2883","KDEC","KMHK",365
"2884","KDEN","KMHK",374
"2885","KDMO","KMHK",166
"2886","KDNV","KMHK",425
"2887","KDRO","KMHK",538
"2888","KDTG","KMHK",397
"2889","KDVK","KMHK",569
"2890","KEAR","KMHK",144
"2891","KEEO","KMHK",523
"2892","KEGE","KMHK",477
"2893","KEGT","KMHK",114
"2894","KEHR","KMHK",431
"2895","KEKX","KMHK",514
"2896","KEMP","KMHK",53
"2897","KENL","KMHK",357
"2898","KEOK","KMHK",255
"2899","KEPG","KMHK",107
"2900","KEQA","KMHK",82
"2901","KEVU","KMHK",109
"2902","KEVV","KMHK",435
"2903","KEWK","KMHK",71
"2904","KEYE","KMHK",484
"2905","KEZZ","KMHK",117
"2906","KFAM","KMHK",306
"2907","KFBY","KMHK",67
"2908","KFCS","KMHK",380
"2909","KFES","KMHK",301
"2910","KFFL","KMHK",245
"2911","KFFT","KMHK",556
"2912","KFKR","KMHK",473
"2913","KFLV","KMHK",83
"2914","KFMZ","KMHK",96
"2915","KFNB","KMHK",75
"2916","KFNL","KMHK",393
"2917","KFOA","KMHK",386
"2918","KFOE","KMHK",48
"2919","KFRH","KMHK",472
"2920","KFRI","KMHK",7
