"","start","end","distance"
"449","19K","K89",115
"450","19K","K91",70
"451","19K","K97",182
"452","19K","KAAO",139
"453","19K","KAFK",125
"454","19K","KAIZ",104
"455","19K","KANY",192
"456","19K","KAOV",141
"457","19K","KBEC",140
"458","19K","KBIE",136
"459","19K","KBUM",31
"460","19K","KBZK",91
"461","19K","KCEA",143
"462","19K","KCEK",155
"463","19K","KCFV",111
"464","19K","KCHT",79
"465","19K","KCNK",151
"466","19K","KCNU",78
"467","19K","KCOU",111
"468","19K","KCYW",126
"469","19K","KDMO",66
"470","19K","KEGT",158
"471","19K","KEMP",80
"472","19K","KEOK",178
"473","19K","KEOS",118
"474","19K","KEQA",121
"475","19K","KEVU",96
"476","19K","KEWK",134
"477","19K","KEZZ",59
"478","19K","KFBY",147
"479","19K","KFLV",39
"480","19K","KFMZ",176
"481","19K","KFNB",91
"482","19K","KFOE",52
"483","19K","KFRI",103
"484","19K","KFSK",59
"485","19K","KFSW",189
"486","19K","KFTT",121
"487","19K","KGLY",49
"488","19K","KGPH",36
"489","19K","KGVW",5
"490","19K","KHAE",157
"491","19K","KHIG",46
"492","19K","KHJH",162
"493","19K","KHRU",104
"494","19K","KHSI",209
"495","19K","KHUT",160
"496","19K","KIAB",144
"497","19K","KICL",119
"498","19K","KICT",150
"499","19K","KIDP",112
"500","19K","KIRK",124
"501","19K","KIXD",15
"502","19K","KJEF",115
"503","19K","KJLN",97
"504","19K","KLBO",113
"505","19K","KLLU",78
"506","19K","KLWC",33
"507","19K","KLWD",116
"508","19K","KLXT",15
"509","19K","KLYO",173
"510","19K","KMBY",109
"511","19K","KMCI",32
"512","19K","KMHK",100
"513","19K","KMHL",68
"514","19K","KMIO",112
"515","19K","KMKC",21
"516","19K","KMNF",173
"517","19K","KMPR",148
"518","19K","KMQB",210
"519","19K","KMYZ",115
"520","19K","KNVD",56
"521","19K","KOJC",9
"522","19K","KOWI",34
"523","19K","KPPF",96
"524","19K","KPPQ",185
"525","19K","KPTS",79
"526","19K","KRPB",156
"527","19K","KSDA",125
"528","19K","KSGF",108
"529","19K","KSLN",144
"530","19K","KSTJ",62
"531","19K","KSUS",185
"532","19K","KSZL",49
"533","19K","KTBN",131
"534","19K","KTKO",180
"535","19K","KTOP",52
"536","19K","KTRX",92
"537","19K","KTVB",154
"538","19K","KTVK",139
"539","19K","KUBX",155
"540","19K","KUIN",173
"541","19K","KUKL",60
"542","19K","KUNO",171
"543","19K","KUUV",164
"544","19K","KVER",90
"545","19K","KVIH",138
"546","19K","KWLD",151
"547","19K","M17",91
"548","19K","M48",151
"549","19K","M58",115
"550","19K","M66",126
"551","19K","M71",170
"552","19K","MO01",115
"553","19K","MO02",146
"554","19K","MO04",140
"555","19K","MO07",154
"556","19K","MO08",59
"557","19K","MO09",147
"558","19K","MO1",116
"559","19K","MO10",112
"560","19K","MO11",145
"561","19K","MO13",101
"562","19K","MO14",160
"563","19K","MO15",113
"564","19K","MO16",98
"565","19K","MO17",114
"566","19K","MO18",19
"567","19K","MO2",117
"568","19K","MO22",115
"569","19K","MO23",97
"570","19K","MO24",90
"571","19K","MO25",81
"572","19K","MO26",39
"573","19K","MO27",61
"574","19K","MO29",12
"575","19K","MO3",76
"576","19K","MO31",126
"577","19K","MO33",99
"578","19K","MO34",95
"579","19K","MO35",174
"580","19K","MO36",172
"581","19K","MO37",10
"582","19K","MO39",167
"583","19K","MO42",151
"584","19K","MO43",148
"585","19K","MO45",142
"586","19K","MO46",166
"587","19K","MO49",108
"588","19K","MO5",200
"589","19K","MO51",41
"590","19K","MO52",78
"591","19K","MO53",93
"592","19K","MO59",173
"593","19K","MO6",169
"594","19K","MO60",12
"595","19K","MO62",105
"596","19K","MO66",118
"597","19K","MO68",108
"598","19K","MO71",42
"599","19K","MO72",205
"600","19K","MO74",114
"601","19K","MO75",37
"602","19K","MO76",100
"603","19K","MO77",145
"604","19K","MO78",135
"605","19K","MO79",194
"606","19K","MO8",95
"607","19K","MO80",144
"608","19K","MO81",199
"609","19K","MO82",153
"610","19K","MO83",117
"611","19K","MO84",175
"612","19K","MO85",123
"613","19K","MO86",154
"614","19K","MO87",23
"615","19K","MO88",122
"616","19K","MO89",89
"617","19K","MO9",208
"618","19K","MO93",103
"619","19K","MO94",44
"620","19K","MO95",59
"621","19K","MO96",190
"622","19K","MO98",3
"623","19K","MO99",81
"624","19K","MU00",130
"625","19K","MU02",163
"626","19K","MU03",25
"627","19K","MU07",26
"628","19K","MU09",104
"629","19K","MU11",81
"630","19K","MU12",117
"631","19K","MU13",113
"632","19K","MU16",83
"633","19K","MU17",112
"634","19K","MU18",161
"635","19K","MU19",92
"636","19K","MU20",31
"637","19K","MU21",145
"638","19K","MU23",104
"639","19K","MU25",148
"640","19K","MU27",84
"641","19K","MU32",101
"642","19K","MU33",131
"643","19K","MU34",174
"644","19K","MU35",90
"645","19K","MU38",108
"646","19K","MU40",127
"647","19K","MU41",123
"648","19K","MU42",178
"649","19K","MU55",43
"650","19K","MU62",12
"651","19K","MU63",108
"652","19K","MU68",143
"653","19K","MU69",70
"654","19K","MU70",127
"655","19K","MU71",37
"656","19K","MU84",19
"657","19K","MU85",24
"658","19K","MU86",148
"659","19K","MU89",167
"660","19K","MU97",37
"661","19K","NE01",195
"662","19K","NE04",192
"663","19K","NE20",114
"664","19K","NE33",146
"665","19K","NE35",158
"666","19K","NE38",218
"667","19K","NE40",157
"668","19K","NE45",148
"669","19K","NE51",151
"670","19K","NE52",161
"671","19K","NE53",143
"672","19K","NE57",118
"673","19K","NE79",147
"674","19K","NE80",149
"675","19K","NE86",190
"676","19K","NE87",180
"677","19K","NE92",124
"678","19K","O53",191
"679","19K","OA6",15
"680","19K","OK46",198
"681","19K","OK47",196
"682","19K","OK48",165
"683","19K","OK64",200
"684","19K","OL92",135
"685","19K","OMU9",75
"686","19K","SN00",139
"687","19K","SN04",86
"688","19K","SN05",145
"689","19K","SN07",113
"690","19K","SN08",152
"691","19K","SN09",146
"692","19K","SN10",149
"693","19K","SN13",165
"694","19K","SN14",48
"695","19K","SN16",138
"696","19K","SN18",132
"697","19K","SN19",137
"698","19K","SN20",132
"699","19K","SN21",33
"700","19K","SN22",27
"701","19K","SN24",52
"702","19K","SN26",40
"703","19K","SN27",24
"704","19K","SN28",157
"705","19K","SN32",150
"706","19K","SN33",125
"707","19K","SN34",155
"708","19K","SN36",165
"709","19K","SN37",103
"710","19K","SN39",146
"711","19K","SN40",144
"712","19K","SN41",77
"713","19K","SN42",32
"714","19K","SN43",60
"715","19K","SN44",108
"716","19K","SN45",32
"717","19K","SN46",129
"718","19K","SN47",71
"719","19K","SN49",167
"720","19K","SN52",138
"721","19K","SN53",102
"722","19K","SN57",34
"723","19K","SN58",111
"724","19K","SN59",16
"725","19K","SN61",158
"726","19K","SN62",148
"727","19K","SN64",154
"728","19K","SN65",160
"729","19K","SN68",139
"730","19K","SN69",50
"731","19K","SN70",184
"732","19K","SN71",183
"733","19K","SN72",49
"734","19K","SN75",75
"735","19K","SN76",165
"736","19K","SN78",7
"737","19K","SN81",28
"738","19K","SN83",32
"739","19K","SN84",36
"740","19K","SN85",24
"741","19K","SN88",13
"742","19K","SN89",15
"743","19K","SN90",39
"744","19K","SN91",82
"745","19K","SN92",104
"746","19K","SN93",66
"747","19K","SN95",186
"748","19K","SN99",102
"749","19K","Y46",112
"750","AZG","MXA9",55
"751","MM0R","MXA9",98
"752","MM0U","MXA9",160
"753","MM1A","MXA9",141
"754","MM1C","MXA9",111
"755","MM1K","MXA9",65
"756","MM1P","MXA9",52
"757","MM2A","MXA9",147
"758","MM2B","MXA9",159
"759","MM2C","MXA9",145
"760","MM2F","MXA9",128
"761","MM2K","MXA9",57
"762","MM2M","MXA9",94
"763","MMAS","MXA9",116
"764","MMCB","MXA9",154
"765","MMCY","MXA9",65
"766","MMGL","MXA9",96
"767","MMGT","MXA9",69
"768","MMIA","MXA9",108
"769","MMLC","MXA9",113
"770","MMLO","MXA9",71
"771","MMMM","MXA9",42
"772","MMMX","MXA9",154
"773","MMPC","MXA9",169
"774","MMPN","MXA9",30
"775","MMQT","MXA9",92
"776","MMTO","MXA9",128
"777","MMTX","MXA9",93
"778","MMZM","MXA9",31
"779","MMZO","MXA9",163
"780","MMZP","MXA9",111
"781","02AK","PAWD",107
"782","05AK","PAWD",93
"783","0AK1","PAWD",90
"784","0AK3","PAWD",119
"785","0AK6","PAWD",110
"786","10AK","PAWD",88
"787","13AK","PAWD",93
"788","14AK","PAWD",89
"789","16AK","PAWD",89
"790","1AK4","PAWD",46
"791","1AK6","PAWD",123
"792","1AK7","PAWD",68
"793","21AK","PAWD",119
"794","23AK","PAWD",88
"795","24AK","PAWD",90
"796","25AK","PAWD",97
"797","28AK","PAWD",111
"798","2R3","PAWD",66
"799","30AK","PAWD",59
"800","34AK","PAWD",90
"801","36AK","PAWD",76
"802","38AK","PAWD",87
"803","39AK","PAWD",88
"804","3A3","PAWD",90
"805","3AK1","PAWD",98
"806","3AK2","PAWD",90
"807","3AK4","PAWD",65
"808","3AK6","PAWD",88
"809","3AK7","PAWD",102
"810","3AK8","PAWD",92
"811","3H3","PAWD",89
"812","40AK","PAWD",50
"813","41AK","PAWD",58
"814","42AK","PAWD",87
"815","43AK","PAWD",89
"816","44AK","PAWD",32
"817","46AK","PAWD",54
"818","47AK","PAWD",70
"819","48AK","PAWD",104
"820","49AK","PAWD",115
"821","4AK2","PAWD",86
"822","4AK6","PAWD",91
"823","52AK","PAWD",59
"824","52Z","PAWD",31
